Variable,Group1,Group2,Test,Statistic,p_value,Cohen_d,Mean_Group1,Mean_Group2,Std_Group1,Std_Group2,median_Group1,median_Group2,MAD_Group1,MAD_Group2,adj_p_value,Significant
duration_min,Control,COBRAD,Mann-Whitney U,41.0,3.827257419129801e-39,8.060901175840325,20.29198570219966,58.712466560193675,4.772025246551459,4.752335910385931,19.086633333333335,59.45263310563915,1.5633333333333326,0.343516967366007,2.2198093030952847e-37,True
number_of_signals,Control,COBRAD,Mann-Whitney U,16154.0,1.6408874578891594e-44,-5.43090653916976,43.34010152284264,28.008390152433982,0.9427846237520968,5.010318297189348,44.0,26.0,0.0,1.0,1.9034294511514248e-42,True
sampling_frequency,Control,COBRAD,Mann-Whitney U,12464.0,1.2491909597948444e-13,-1.652082455480971,431.4720812182741,256.0,126.26650420405136,0.0,500.0,256.0,5.684341886080802e-14,0.0,2.401759414412187e-13,True
overall_pswe_median_percentage,Control,COBRAD,Mann-Whitney U,10654.0,4.631779409815641e-25,-1.7717111993228294,0.398418891296097,0.22185899153267966,0.09910072824979234,0.10061259070079281,0.3885006230499502,0.18888674520509674,0.0575937937987501,0.02429626502617921,1.6617105511503536e-24,True
overall_pswe_events_per_minute,Control,COBRAD,Mann-Whitney U,978.0,3.8114656114269933e-31,1.4808288689203306,0.1207714704986253,0.6663403695805606,0.3637974934655659,0.37937668088188087,0.0095826235093696,0.6394694201260214,0.0095826235093696,0.20983678394206576,3.490500086254194e-30,True
overall_pswe_avg_length,Control,COBRAD,Mann-Whitney U,1830.0,1.6609399488077044e-24,1.063575498316471,4.380993850981705,7.146611203408015,3.011020787872544,1.0884952810147206,5.5,7.220938355717536,0.6521739130434785,0.601680377034882,5.692952614318464e-24,True
overall_min,Control,COBRAD,Mann-Whitney U,12989.0,1.2449872455693507e-15,-0.9358294699116663,-9.903273497194665e-05,-0.00018571764091253337,5.2393192877219036e-05,0.00015066375835499508,-8.411368571415058e-05,-0.0001431757099529282,2.4346100088549414e-05,4.163950092165106e-05,2.6257912815644486e-15,True
overall_max,Control,COBRAD,Mann-Whitney U,2702.0,2.0580731078676137e-18,1.0229838517098895,9.265497466908514e-05,0.0001876515813066941,5.1788489568781056e-05,0.00015165754920223558,7.750395150692976e-05,0.00014660603474257012,2.2118418262649742e-05,4.349033391265165e-05,4.9736766773467335e-18,True
overall_mean,Control,COBRAD,Mann-Whitney U,7325.0,0.2209318833377727,0.16241994509485072,-5.47534576848499e-10,1.6827333555355825e-09,1.5063756486643477e-08,9.783916249875613e-09,-1.010610974628175e-10,4.3105092085358e-10,1.8298607396316645e-09,2.7398600134183002e-09,0.2351201694236847,False
overall_median,Control,COBRAD,Mann-Whitney U,9615.0,0.01226932727930442,-0.2641153327246418,1.7820269812286147e-08,7.747195617057913e-09,3.682933218940549e-08,4.1135668116967976e-08,1.2441419894029864e-08,6.215405870043788e-09,1.786788291571576e-08,1.4317276980946382e-08,0.014522877187748088,True
