Variable,Group1,Group2,Test,Statistic,p_value,Cohen_d,Mean_Group1,Mean_Group2,Std_Group1,Std_Group2,median_Group1,median_Group2,MAD_Group1,MAD_Group2,adj_p_value,Significant
duration_sec,Control,WNV,Mann-Whitney U,854.0,0.03655226646114038,-0.016545079031385607,1194.6016170212768,1190.4543060004735,277.82554863184004,84.9503394175013,1114.048,1204.99609375,91.05000000000007,33.0,0.05171756850352842,False
duration_min,Control,WNV,Mann-Whitney U,854.0,0.03655226646114038,-0.016545079031384077,19.91002695035461,19.840905100007895,4.630425810530667,1.4158389902916888,18.567466666666668,20.083268229166663,1.5175,0.5499999999999972,0.05171756850352842,False
number_of_signals,Control,WNV,Mann-Whitney U,2030.0,1.1462330188496235e-09,-2.6064505901086186,43.319148936170215,30.98315958057532,0.9527861346806624,10.280199950819718,44.0,23.0,0.0,2.0,4.457302079658958e-08,True
sampling_frequency,Control,WNV,Mann-Whitney U,1406.0,0.07016267541917849,-0.6705180677188298,436.17021276595744,353.6,123.43738461416116,122.00000000000003,500.0,256.0,0.0,0.0,0.09489799149916006,False
highpass,Control,WNV,Mann-Whitney U,470.0,1.3999686188787707e-15,2.649528259898353,0.0,0.09,0.0,0.07500000000000001,0.0,0.15,0.0,0.0,5.585874789326296e-13,True
lowpass,Control,WNV,Mann-Whitney U,1706.0,3.0918189793933334e-05,-1.130646381264408,218.08510638297872,140.2,61.71869230708058,91.50000000000001,250.0,67.0,0.0,0.0,0.00010454540447270679,True
n_samples,Control,WNV,Mann-Whitney U,1445.0,0.07874073642250658,-0.5553481437748796,518529.78723404254,418939.34713612124,187323.53521411968,144228.03345451772,535500.0,315136.0,67700.0,15104.0,0.10578300953730681,False
size,Control,WNV,T-test,4.247447382594729,4.3608941206204846e-05,-0.9558011684270677,44852630.80851064,29005837.898177482,16140868.195224604,18179916.410175245,45921664.0,15132928.0,6279344.0,1587712.0000000019,0.0001462182146325692,True
overall_pswe_median_percentage,Control,WNV,Mann-Whitney U,554.5,0.0018820479309108959,1.1219401689528952,0.41249868305191795,0.6780385198201586,0.09895626689837143,0.4477377818550449,0.3927751585910695,0.4929577464788732,0.061644102620710794,0.1447683314370905,0.0037926117395628662,True
overall_pswe_events_per_minute,Control,WNV,Mann-Whitney U,254.0,1.7981346832422112e-09,2.1454205861037243,0.12112957551986389,1.3579879430119965,0.282209828105564,1.1452791253548782,0.021958369737483698,1.1298696854092325,0.021958369737483698,0.8558970826695065,5.1246838472403023e-08,True
overall_pswe_avg_length,Control,WNV,Mann-Whitney U,399.5,4.0787277289308714e-07,1.2924285199011725,4.950066838878109,12.553168726256674,2.523799086068418,12.00120246516226,5.816498316498317,8.454921422663357,0.5524969163583027,2.5164598842018187,2.229332005264956e-06,True
overall_min,Control,WNV,Mann-Whitney U,1319.0,0.3492264472434383,-0.20113823791054053,-0.00011385424682866939,-0.00012906068556478928,7.563422226926025e-05,7.54766609700646e-05,-9.006524109924629e-05,-0.00011799461704119999,2.4511637525223798e-05,5.032714949397245e-05,0.42352994665693583,False
overall_max,Control,WNV,Mann-Whitney U,887.0,0.060731775326018846,0.374212049582705,0.00010117542799459866,0.00012531978268815643,5.933413448817311e-05,8.155999294854913e-05,8.291321718617331e-05,9.809262271462515e-05,2.5036941810643917e-05,3.067153871894446e-05,0.08298622724342987,False
overall_mean,Control,WNV,Mann-Whitney U,1009.0,0.28031902237332373,0.09010495335131284,-1.4687674362064243e-10,4.1999895706265106e-10,5.092478600763967e-09,9.61571378403133e-09,-5.421338475123114e-11,6.163924341275272e-10,2.204947151319919e-09,4.061728935669308e-09,0.3430898464017061,False
overall_median,Control,WNV,Mann-Whitney U,1481.0,0.04627653155932623,-0.7518245884004467,1.7043102466908465e-08,-1.5691935290899246e-08,3.51694075903771e-08,6.670149624531672e-08,1.0443476489213278e-08,-2.1708439088387168e-09,1.2345509163206741e-08,3.6663368669052313e-08,0.06411227809781654,False
overall_std,Control,WNV,Mann-Whitney U,683.0,0.0013450398572526039,0.9274130789913405,7.155422112330921e-06,1.0144304100514411e-05,2.7063967701498905e-06,4.717164979342223e-06,6.590571547438957e-06,8.185382970019867e-06,1.263126780844126e-06,2.1557774900798e-06,0.0029009238002366973,True
overall_psd_mean,Control,WNV,Mann-Whitney U,668.0,0.0009530165888843512,0.8091658998967405,1.1984849871912393e-12,2.378827531509911e-12,1.1901096935954023e-12,2.210173927236239e-12,8.517651282313616e-13,1.397465300606956e-12,2.82767258645987e-13,6.004460579123903e-13,0.0021853656262348056,True
overall_psd_std,Control,WNV,Mann-Whitney U,505.0,1.2577091002497725e-05,1.1572596309119119,4.551260817926628e-12,1.2099548693181578e-11,4.799718985338342e-12,1.0868809147214146e-11,3.304210538377665e-12,7.112990185251659e-12,1.230845931916292e-12,4.1376011715421834e-12,4.689961971959432e-05,True
overall_fft_mean,Control,WNV,Mann-Whitney U,1009.0,0.28031902237332373,0.4670318556664682,0.0024422981395958356,0.0029915279459243843,0.0009521463223428276,0.0017969442945884812,0.0022203970169071,0.0026006078372126,0.0004411631858920001,0.0007013198431322278,0.3430898464017061,False
overall_fft_std,Control,WNV,Mann-Whitney U,641.0,0.0005010952095914092,0.875997588716726,0.003510200596428353,0.004985911893588743,0.0014926398326170548,0.0022806492866625765,0.0031586417224226003,0.0040249858168848,0.00068978888677355,0.0006912650418241994,0.001249606178918577,True
overall_delta_power,Control,WNV,Mann-Whitney U,322.0,2.6808440427347473e-08,1.582293560520346,1.0382272793554651e-11,4.606231858693586e-11,1.0196312466847154e-11,4.5563060500786786e-11,6.9551088032172285e-12,1.9347236780983338e-11,2.847260220276295e-12,1.2921207038359229e-11,2.608918958661376e-07,True
overall_theta_power,Control,WNV,Mann-Whitney U,745.0,0.005082638950141585,0.4595761790345401,1.195091851002611e-11,1.928394215458705e-11,1.498037454184168e-11,1.927587224833684e-11,6.998046607944548e-12,1.2027931491733224e-11,3.6201759968949313e-12,4.440950868896955e-12,0.00862967208981486,True
overall_alpha_power,Control,WNV,Mann-Whitney U,1213.0,0.8067483323935127,-0.17522069081657038,1.0972224443956194e-11,8.76524471797306e-12,1.3688200803392492e-11,6.880916619085604e-12,6.806508200383249e-12,6.1289919697019345e-12,3.1988086398066677e-12,2.8069086694928773e-12,0.8583802256666976,False
overall_beta_power,Control,WNV,Mann-Whitney U,1305.0,0.3982421409781003,-0.07262690268546532,1.0529862801395948e-11,9.759811904173435e-12,1.0788952698684051e-11,9.848450780382574e-12,7.528036182470036e-12,6.2615866925898845e-12,2.5336817877984248e-12,2.36293066079817e-12,0.47574435404270066,False
overall_gamma_power,Control,WNV,Mann-Whitney U,1136.0,0.8017009942303703,0.7078085605522481,7.773230343999973e-12,2.052326755553353e-11,8.99492609099194e-12,3.561363510361773e-11,4.9318198688125434e-12,4.981687353338145e-12,2.1823009020114417e-12,2.712573440328234e-12,0.8552906328821331,False
overall_skewness,Control,WNV,Mann-Whitney U,843.0,0.03058215478004457,0.14938565799766504,-0.012446460893419296,-0.003153880606825803,0.055876224255057845,0.08225248401146033,-0.0159889564811043,0.0132378899427567,0.021567087863603552,0.0319072842863134,0.04389309265193447,True
overall_kurtosis,Control,WNV,Mann-Whitney U,955.0,0.15218385732298229,0.2729697612934326,1.4438197177790368,1.948388072227514,1.777680155966445,2.1002382644619475,1.0310297428903192,1.3839362988953194,0.3482591014788587,0.7011148739962766,0.19650925265977323,False
overall_mpf_mean,Control,WNV,T-test,5.373159532828139,3.996411548015258e-07,-1.2091196657708412,9.973266084264221,7.222950598692869,2.0624425839656584,2.956396964933023,9.756766429498757,7.156022425045213,1.2925771089570866,2.034283095349921,2.214678066191789e-06,True
overall_mpf_median,Control,WNV,Mann-Whitney U,1938.0,6.558478155005434e-07,-1.3418866956725373,9.894735099086484,6.858094199787853,2.051417286106204,2.9423945724218115,9.640417597040917,6.7749955101355015,1.2374781045166214,1.7809413005036365,3.2710409798089603e-06,True
overall_df_mean,Control,WNV,T-test,5.807572488799351,5.5552682988846154e-08,-1.3068754172837627,6.239466184162057,3.868236170321799,1.7607238062747892,2.009013037600922,6.144151132152401,3.378513215020184,1.0852385891585898,1.2932312139491748,4.262600098567234e-07,True
overall_dfv_std,Control,WNV,Mann-Whitney U,1631.0,0.0029648944868298508,-0.43669174987436327,4.367604951113116,3.5781296412385917,1.6015093855819347,2.4483522356464458,3.9893807827321432,2.9109133995928573,0.7802367580236509,0.9792518616672361,0.005633299524976717,True
min_EEG F3,Control,WNV,Mann-Whitney U,1621.0,0.003659392486818657,-0.6662296732544022,-5.038539179092147e-05,-7.173934541943161e-05,3.075661687539446e-05,3.664132563553639e-05,-4.376792196808734e-05,-6.126868529645998e-05,1.2894266899293847e-05,2.308516120790728e-05,0.006636807282912019,True
max_EEG F3,Control,WNV,Mann-Whitney U,814.0,0.018690718711380325,0.34724555564619447,6.124724352356024e-05,7.60822655715985e-05,4.376900071460671e-05,3.839610850128642e-05,4.8528220502134076e-05,7.084779842877594e-05,1.3185347628656103e-05,3.1378291941124063e-05,0.0277234080514526,True
mean_EEG F3,Control,WNV,Mann-Whitney U,1174.0,0.997397592123861,0.2355253697941556,-8.385274534914644e-09,5.101627476664457e-09,3.8925690930193485e-08,1.0056822668355298e-07,-6.9543658412445105e-09,-5.386789008655862e-09,2.0162169469448956e-08,2.1957773743748702e-08,0.9999036162246748,False
median_EEG F3,Control,WNV,Mann-Whitney U,953.0,0.14848409924326347,-0.05247804217982851,-1.344086187692523e-07,-1.4670113920931612e-07,1.5811363809515747e-07,4.1305135180123e-07,-1.007873077110517e-07,-5.061988878401829e-08,7.892735143762035e-08,1.2943728071983518e-07,0.19235440129240952,False
std_EEG F3,Control,WNV,Mann-Whitney U,768.0,0.008008443617134736,0.8988968182645823,7.374443556916852e-06,1.0549403268921281e-05,2.943216959617692e-06,5.220211165391449e-06,6.837438067552707e-06,8.391486141192955e-06,1.3905675034129788e-06,3.109704609005903e-06,0.012989304891206341,True
psd_mean_EEG F3,Control,WNV,Mann-Whitney U,720.0,0.0030284915929404037,1.0204579541629064,1.1808731569929954e-12,2.7529574231134556e-12,1.0217602366538914e-12,2.7430994392842875e-12,9.059215792986196e-13,1.555505624597023e-12,3.025859065843988e-13,1.024492893082208e-12,0.0056998497433170805,True
psd_std_EEG F3,Control,WNV,Mann-Whitney U,608.0,0.00021950758180146602,1.172206185251373,2.6638921668258504e-12,7.618511615048473e-12,2.397048275037124e-12,8.051624812907388e-12,2.0024221373602807e-12,3.353903046169521e-12,8.843566196392398e-13,1.6670110768028834e-12,0.000612472203767727,True
fft_mean_EEG F3,Control,WNV,Mann-Whitney U,1080.0,0.537597542967623,0.2894962634130767,0.002694429930108577,0.0031294276379461756,0.0013868583196161137,0.0018851412305645233,0.0023361352974175503,0.0025193126910015,0.0005483201484720999,0.0007613640447200003,0.6128611989830902,False
fft_std_EEG F3,Control,WNV,Mann-Whitney U,681.0,0.0012853129057200968,0.9881281815055626,0.0034492069181892037,0.005120692608083811,0.0013673597610662485,0.0025892757788226334,0.0031549712512258,0.0041900280763077,0.0006482768877718,0.0010517887004942998,0.0028024035485372605,True
delta_power_EEG F3,Control,WNV,Mann-Whitney U,417.0,7.75695030784741e-07,1.4165249834655955,1.1320224230903967e-11,5.7184846090846477e-11,9.771532642053917e-12,6.885288881557983e-11,8.684398097704816e-12,1.5965852524736572e-11,3.4164478654884485e-12,1.0538179482254556e-11,3.821016262754465e-06,True
theta_power_EEG F3,Control,WNV,Mann-Whitney U,731.0,0.0038149018534022216,0.7378142980319481,1.0998808920167599e-11,2.2342304828022055e-11,1.2070545094360302e-11,2.4243417008510616e-11,6.667348625637567e-12,1.2981733878203997e-11,3.756853857715974e-12,6.1640030516371505e-12,0.006735158581891533,True
alpha_power_EEG F3,Control,WNV,Mann-Whitney U,1097.0,0.6131696007203017,0.020810796484776427,9.582237873878247e-12,9.793293240803868e-12,1.03890201194319e-11,9.1198177989648e-12,6.451668653920818e-12,7.0900229683706186e-12,3.6096742260328896e-12,3.798786989620206e-12,0.6814893333910874,False
beta_power_EEG F3,Control,WNV,Mann-Whitney U,1235.0,0.6979159814861419,0.033627262590316086,9.92372133230863e-12,1.0234432143150813e-11,9.295774173662677e-12,9.01986175806177e-12,7.372239721974534e-12,6.183300230753036e-12,2.922763943012161e-12,2.9286117941479236e-12,0.7629273331862209,False
gamma_power_EEG F3,Control,WNV,Mann-Whitney U,1244.0,0.6549871725380119,0.332603164101532,1.1412405930813533e-11,1.932249409819124e-11,2.1525947496035403e-11,3.101222793752921e-11,4.756402998300264e-12,3.3182448988481993e-12,2.3918560724696517e-12,3.053976339445351e-12,0.7239331906999078,False
skewness_EEG F3,Control,WNV,Mann-Whitney U,1510.0,0.02910677228025328,-0.5298147250313588,0.12466207995798323,0.046268593889868585,0.13792554688018419,0.1816978542681919,0.1187955355673438,0.0636891452321184,0.08296496638187795,0.08796988906492699,0.04192636151559949,True
kurtosis_EEG F3,Control,WNV,Mann-Whitney U,959.0,0.15979332498358434,0.42774903476713466,1.1910662831447334,1.8580381639403993,1.318236932956481,2.2624695770431167,0.7519166762777345,1.0363200070591807,0.41468256395117287,0.5210327924629325,0.20566947312403275,False
mean_mpf_EEG F3,Control,WNV,Mann-Whitney U,1843.0,1.3349895299886074e-05,-1.0901798287654667,10.184169583940117,7.127240174797124,2.7836567031331625,2.881757591747192,9.626799493630745,6.991643669680573,1.2663133023650879,2.4285034460341404,4.8867965363803156e-05,True
median_mpf_EEG F3,Control,WNV,Mann-Whitney U,1900.0,2.2885394484951383e-06,-1.153264864440381,10.162527016093339,6.833414830394934,2.8909307309621703,2.8701726232968823,9.466264793742774,6.792326732032691,1.1502430893481055,2.1107561382538904,9.818572472575917e-06,True
pswe_percentage_EEG F3,Control,WNV,Mann-Whitney U,351.0,3.1290514114855844e-08,1.7398676683064636,1.8022606853837801,31.6697795070642,4.961924468377085,36.62253504974016,0.34527350316824,8.432835820895521,0.34527350316824,8.087054354782104,2.9034686353087166e-07,True
pswe_events_per_minute_EEG F3,Control,WNV,Mann-Whitney U,357.0,3.934929132049907e-08,1.6554594726405534,0.14870603760921755,1.1919821467793335,0.3453320380543962,1.2140950143279943,0.035476291198780305,0.7164179104477613,0.035476291198780305,0.6070618958669594,3.488970497084251e-07,True
pswe_avg_length_EEG F3,Control,WNV,Mann-Whitney U,460.0,1.5432850439191722e-06,1.2294409405090911,3.282661689635124,15.860423182605146,3.1890172387636686,21.69843087825156,5.0,7.0625,2.990196078431372,2.0625,6.766711346414832e-06,True
dfv_mean_EEG F3,Control,WNV,Mann-Whitney U,1976.0,1.7710977889340275e-07,-0.9712311739256041,6.223764590775037,3.581355467249367,2.9484513766414278,1.5486902682508288,5.938021342819031,3.496382054992764,1.0121002320419694,1.1632885298129083,1.1397871254591565e-06,True
dfv_std_EEG F3,Control,WNV,Mann-Whitney U,1688.0,0.0008282374679947695,-0.5806188692083505,4.844010690946795,3.509898154902708,2.310590160403389,2.24726316515594,4.010629016381093,2.784917440469033,0.8207014793702421,0.8930990662488192,0.0019439220572347825,True
min_EEG F4,Control,WNV,Mann-Whitney U,1669.0,0.0012853129057200968,-0.9221343516998409,-4.725691981670885e-05,-7.818183076336445e-05,2.5279532265180413e-05,5.483130537543998e-05,-4.046730902742769e-05,-5.947339029116591e-05,1.0829713893941359e-05,2.2694269627772484e-05,0.0028024035485372605,True
max_EEG F4,Control,WNV,Mann-Whitney U,819.0,0.02039361035324087,0.6500558371085492,5.673054742380826e-05,8.125966445285473e-05,3.185702460792412e-05,5.485088626646508e-05,4.9357340196262635e-05,6.415136679619876e-05,1.1773118560872685e-05,2.263656691804623e-05,0.030026016719347258,True
mean_EEG F4,Control,WNV,Mann-Whitney U,935.0,0.11821127239844628,0.43619226357098634,-9.143248679960331e-09,8.965356632386992e-09,3.770928137627476e-08,5.377644305950854e-08,-5.480232568847781e-09,-1.250589092608464e-09,2.130761469538401e-08,2.603037756605508e-08,0.1566986634118939,False
median_EEG F4,Control,WNV,Mann-Whitney U,809.0,0.017113548173037292,0.5438572584966358,-1.1979301005150257e-07,-2.428110612485244e-08,1.20645044029339e-07,3.065194146677367e-07,-9.687204553481764e-08,-6.321903068695102e-08,6.870271018216063e-08,1.4193045661185003e-07,0.025767191400158037,True
std_EEG F4,Control,WNV,Mann-Whitney U,743.0,0.004880826143884347,0.9593594580105687,7.275758137282749e-06,1.0766473160844362e-05,2.638499920368607e-06,6.129047688359294e-06,6.807089205715739e-06,8.635545206593952e-06,1.4042739661126482e-06,2.704929475527459e-06,0.008322434322264335,True
psd_mean_EEG F4,Control,WNV,Mann-Whitney U,727.0,0.003509668784766224,0.9314861979743306,1.2023800990133008e-12,2.7407749988800737e-12,1.0494293724063788e-12,3.0049242946000956e-12,9.155270201338683e-13,1.429929771592108e-12,3.6684237826559116e-13,6.917237152686174e-13,0.006394328059916544,True
psd_std_EEG F4,Control,WNV,Mann-Whitney U,629.0,0.00037305029990907656,1.0960085630701277,2.7668649559383383e-12,7.382027265809393e-12,2.577416680520537e-12,7.790972792893416e-12,1.969513656729021e-12,3.0704731718743823e-12,8.061839848842509e-13,1.5837542525755456e-12,0.0009728566644687683,True
